kode_provinsi,nama_provinsi,status_gizi,persen_status_gizi
11,"Prov. Nanggroe Aceh Darussalam","Pendek Kurus",3.1
11,"Prov. Nanggroe Aceh Darussalam","Pendek Normal",26.1
11,"Prov. Nanggroe Aceh Darussalam","Pendek Gemuk",9.2
11,"Prov. Nanggroe Aceh Darussalam","Normal Kurus",11.2
11,"Prov. Nanggroe Aceh Darussalam","Normal Normal",47.2
11,"Prov. Nanggroe Aceh Darussalam","Normal Gemuk",3.2
12,"Prov. Sumatera Utara","Pendek Kurus",3.1
12,"Prov. Sumatera Utara","Pendek Normal",28.3
12,"Prov. Sumatera Utara","Pendek Gemuk",10.2
12,"Prov. Sumatera Utara","Normal Kurus",11.2
12,"Prov. Sumatera Utara","Normal Normal",41.4
12,"Prov. Sumatera Utara","Normal Gemuk",5.9
13,"Prov. Sumatera Barat","Pendek Kurus",1.2
13,"Prov. Sumatera Barat","Pendek Normal",25.6
13,"Prov. Sumatera Barat","Pendek Gemuk",5.7
13,"Prov. Sumatera Barat","Normal Kurus",6.9
13,"Prov. Sumatera Barat","Normal Normal",59.2
13,"Prov. Sumatera Barat","Normal Gemuk",1.4
14,"Prov. Riau","Pendek Kurus",1.7
14,"Prov. Riau","Pendek Normal",20.7
14,"Prov. Riau","Pendek Gemuk",7.7
14,"Prov. Riau","Normal Kurus",15.6
14,"Prov. Riau","Normal Normal",46.9
14,"Prov. Riau","Normal Gemuk",7.3
15,"Prov. Jambi","Pendek Kurus",3.1
15,"Prov. Jambi","Pendek Normal",22.2
15,"Prov. Jambi","Pendek Gemuk",4.3
15,"Prov. Jambi","Normal Kurus",16.8
15,"Prov. Jambi","Normal Normal",49.6
15,"Prov. Jambi","Normal Gemuk",4.1
16,"Prov. Sumatera Selatan","Pendek Kurus",2
16,"Prov. Sumatera Selatan","Pendek Normal",27.2
16,"Prov. Sumatera Selatan","Pendek Gemuk",10.3
16,"Prov. Sumatera Selatan","Normal Kurus",12.8
16,"Prov. Sumatera Selatan","Normal Normal",43.9
16,"Prov. Sumatera Selatan","Normal Gemuk",3.8
17,"Prov. Bengkulu","Pendek Kurus",1.2
17,"Prov. Bengkulu","Pendek Normal",20.8
17,"Prov. Bengkulu","Pendek Gemuk",7.7
17,"Prov. Bengkulu","Normal Kurus",16.2
17,"Prov. Bengkulu","Normal Normal",48.1
17,"Prov. Bengkulu","Normal Gemuk",6
18,"Prov. Lampung","Pendek Kurus",1.6
18,"Prov. Lampung","Pendek Normal",24.2
18,"Prov. Lampung","Pendek Gemuk",8.7
18,"Prov. Lampung","Normal Kurus",12.4
18,"Prov. Lampung","Normal Normal",47.4
18,"Prov. Lampung","Normal Gemuk",5.7
19,"Prov. Kepulauan Bangka Belitung","Pendek Kurus",2.3
19,"Prov. Kepulauan Bangka Belitung","Pendek Normal",22.7
19,"Prov. Kepulauan Bangka Belitung","Pendek Gemuk",4.2
19,"Prov. Kepulauan Bangka Belitung","Normal Kurus",5.1
19,"Prov. Kepulauan Bangka Belitung","Normal Normal",61
19,"Prov. Kepulauan Bangka Belitung","Normal Gemuk",4.9
21,"Prov. Kepulauan Riau","Pendek Kurus",2.1
21,"Prov. Kepulauan Riau","Pendek Normal",17.9
21,"Prov. Kepulauan Riau","Pendek Gemuk",4.9
21,"Prov. Kepulauan Riau","Normal Kurus",6
21,"Prov. Kepulauan Riau","Normal Normal",64.3
21,"Prov. Kepulauan Riau","Normal Gemuk",4.8
31,"Prov. DKI Jakarta","Pendek Kurus",.4
31,"Prov. DKI Jakarta","Pendek Normal",15.8
31,"Prov. DKI Jakarta","Pendek Gemuk",8.4
31,"Prov. DKI Jakarta","Normal Kurus",10.8
31,"Prov. DKI Jakarta","Normal Normal",54.5
31,"Prov. DKI Jakarta","Normal Gemuk",10.1
32,"Prov. Jawa Barat","Pendek Kurus",1.4
32,"Prov. Jawa Barat","Pendek Normal",23.4
