OBJECTID,IDSP_KEC,PROVINSI,KABKOTA,KECAMATAN,JML_DESA,KODE_KAB,NOTE,IDSP_PODES,IDSP_POD,GAPECED,GAPSMP6KM,GAPSMP3KM,GAPCR704PR,GAPCR704A_,GAPCR704DE,GAPSHAREMI,GAPSD,GAPSMP,GAPSMPPERM,GAPELECTAL,GAPWATERAL,GAPELECT_1,ORIG_FID,X,Y,LOC
1,1101010,ACEH,SIMEULUE,TEUPAH SELATAN,19,1101,,1101010,1101010,2325,871.9998,871.9998,0,1248,409.0002,1499,23,13,4,0,5,0,0,96.4861148055,2.31677799221,"(2.31677799221, 96.48611480550)"
2,1101020,ACEH,SIMEULUE,SIMEULUE TIMUR,30,1101,,1101020,1101020,9745,0,4225,0,11136,9786.001,3260,24,10,15,1,10,2,1,96.3270081889,2.48785127212,"(2.48785127212, 96.32700818890)"
3,1101021,ACEH,SIMEULUE,TEUPAH BARAT,18,1101,,1101021,1101021,4610,291.9998,1678,0,4386,755.0002,1941,17,2,1,1,6,1,2,96.2329404788,2.48574805823,"(2.48574805823, 96.23294047880)"
4,1101030,ACEH,SIMEULUE,SIMEULUE TENGAH,24,1101,,1101030,1101030,494.9999,0,0,0,0,0,1881,22,28,15,0,9,2,3,96.0251850263,2.61840159885,"(2.61840159885, 96.02518502630)"
5,1101031,ACEH,SIMEULUE,TELUK DALAM,10,1101,,1101031,1101031,2620,478.9998,1458,0,0,0,1526,10,15,1,8,11,2,4,96.1448268311,2.63694738032,"(2.63694738032, 96.14482683110)"
6,1101040,ACEH,SIMEULUE,SALANG,16,1101,,1101040,1101040,1040,0,0,0,7986,0,4602,17,11,7,2,10,1,5,95.8605390823,2.67667261415,"(2.67667261415, 95.86053908230)"
7,1101050,ACEH,SIMEULUE,SIMEULUE BARAT,14,1101,,1101050,1101050,2725,0,877.9997,462.9999,10718,7869,5517,26,16,2,6,17,7,6,95.9201378441,2.78276692016,"(2.78276692016, 95.92013784410)"
8,1101051,ACEH,SIMEULUE,ALAFAN,8,1101,,1101051,1101051,465.0001,1557,1557,0,4675,3298,0,17,7,0,7,6,0,7,95.7614773002,2.80526024157,"(2.80526024157, 95.76147730020)"
9,1102010,ACEH,ACEH SINGKIL,PULAU BANYAK,7,1102,,1102010,1102010,0,0,0,0,4273,1042,0,5,3,1,0,1,0,8,97.2503332168,2.15454226641,"(2.15454226641, 97.25033321680)"
10,1102020,ACEH,ACEH SINGKIL,SINGKIL,16,1102,,1102020,1102020,0,0,1362,0,1632,552.0001,5878,5,2,1,1,8,1,9,97.8025295013,2.33130194973,"(2.33130194973, 97.80252950130)"
11,1102021,ACEH,ACEH SINGKIL,SINGKIL UTARA,7,1102,,1102021,1102021,1041,0,2910,0,1594,0,3574,4,12,9,0,6,0,10,97.9956937685,2.2744022072,"(2.27440220720, 97.99569376850)"
12,1102022,ACEH,ACEH SINGKIL,KUALA BARU,4,1102,,1102022,1102022,188,0,188,0,2242,188,910,0,0,0,3,2,2,11,97.7280527432,2.37052246604,"(2.37052246604, 97.72805274320)"
13,1102030,ACEH,ACEH SINGKIL,SIMPANG KANAN,25,1102,,1102030,1102030,5417,344.9999,1808,181.9999,1469,876.9996,5158,4,0,0,1,5,6,12,98.0378709337,2.42950555104,"(2.42950555104, 98.03787093370)"
14,1102031,ACEH,ACEH SINGKIL,GUNUNG MERIAH,25,1102,,1102031,1102031,5095,2301,5147,2103.001,15723,3249,7978,3,0,0,3,10,0,13,97.9620930464,2.38376211523,"(2.38376211523, 97.96209304640)"
15,1102032,ACEH,ACEH SINGKIL,DANAU PARIS,7,1102,,1102032,1102032,6356,4633,4633,0,3253,695,417.0001,7,3,0,2,6,1,14,98.1181710332,2.31527965423,"(2.31527965423, 98.11817103320)"
16,1102033,ACEH,ACEH SINGKIL,SURO MAKMUR,12,1102,,1102033,1102033,3032,223.0002,1171,0,2123,0,223.0002,2,0,0,0,8,0,15,98.0271789245,2.53048489726,"(2.53048489726, 98.02717892450)"
17,1102042,ACEH,ACEH SINGKIL,SINGKOHOR,7,1102,,1102042,1102042,2077,180,824,0,5522,2344,2615,5,0,0,2,4,3,16,97.9361892763,2.52874090947,"(2.52874090947, 97.93618927630)"
18,1102043,ACEH,ACEH SINGKIL,KOTA BAHARU,10,1102,,1102043,1102043,1921,402,829,0,5984,1111,518.0001,9,2,0,2,4,0,17,97.8533901129,2.45952977008,"(2.45952977008, 97.85339011290)"
19,1103010,ACEH,ACEH SELATAN,TRUMON,16,1103,,1103010,1103010,2750,1159,1824,1297,4071,1947,2246,15,13,8,4,3,3,18,97.7085956707,2.65480378107,"(2.65480378107, 97.70859567070)"
20,1103011,ACEH,ACEH SELATAN,TRUMON TIMUR,14,1103,,1103011,1103011,5226,0,338,776.9998,6574,2749,1339,7,8,2,2,6,0,19,97.7757621465,2.89008033904,"(2.89008033904, 97.77576214650)"
21,1103020,ACEH,ACEH SELATAN,BAKONGAN,15,1103,,1103020,1103020,1875,0,429.0001,0,0,0,938.9999,6,1,0,0,0,0,20,97.539458954,2.99994523888,"(2.99994523888, 97.53945895400)"
