kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,persen_kelahiran
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,61.2
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,60.44
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,73.61
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,56.36
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,71.93
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,48.51
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,66.51
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,53.77
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,69.47
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,41.76
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,50.08
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,57.14
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,60.14
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,68.05
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,62.5
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,67.88
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,59.58
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,78.55
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,74.51
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,82.12
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,71.73
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,76.65
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,69.07
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,82.66
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,66.21
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2005,76.91
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2006,73.91
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2007,93.46
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2008,87.6
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2009,82.06
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2005,62.56
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2006,57.15
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2007,58.3
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2008,59.92
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2009,34.8
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2005,91.44
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2006,96.96
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2007,94.25
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2008,91.38
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2009,67.05
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2005,89.27
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2006,86.11
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2007,85.49
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2008,92.77
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2009,68.12
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2005,86.23
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2006,81.1
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2007,86.31
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2008,82.96
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2009,72.31
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2005,78.38
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2006,63.28
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2007,84.41
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2008,79.09
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2009,89.37
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2005,81.87
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2006,84.82
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2007,62.34
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2008,72.64
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2009,62.74
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2005,59.25
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2006,56.86
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2007,36.37
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2008,54.49
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2009,45.33
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2005,69.94
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2006,84.72
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2007,75.48
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2008,87.91
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2009,91.2
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2005,63.88
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2006,59.6
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2007,78.44
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2008,81.58
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2009,60.5
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2005,55.99
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2006,66.14
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2007,77.14
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2008,72.79
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2009,48.92
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2005,76.26
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2006,84.75
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2007,77.17
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2008,90.87
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2009,88.78
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2005,0
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2006,0
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2007,91.48
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2008,87.32
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2009,95.42
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2005,99.49
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2006,100
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2007,99.49
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2005,83.87
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2006,90.48
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2007,96.09
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2008,94.65
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2009,96.23
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2005,91.01
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2006,93.5
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2007,97.97
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2008,96.43
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2009,96.19
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2005,92.51
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2006,90.13
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2007,96.99
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2008,96.33
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2009,93.42
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2005,0
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2006,0
